epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,33867.2,0.56369,0.28227,0.86205,0.97867,0.97734,0.99334,0.90501,0.50643,0.22649,0.84309,0.0049015,0.0049015,0.0049015
105,35132.5,0.56272,0.28152,0.8613,0.97882,0.97719,0.99334,0.90527,0.50566,0.22614,0.84285,0.004852,0.004852,0.004852
106,36395.8,0.56291,0.28162,0.86297,0.97881,0.97719,0.99335,0.90551,0.50498,0.22583,0.84277,0.0048025,0.0048025,0.0048025
107,37660.7,0.56148,0.28053,0.85993,0.97884,0.97714,0.99336,0.90575,0.50406,0.22547,0.84253,0.004753,0.004753,0.004753
108,38925.9,0.55969,0.2799,0.86088,0.97885,0.97723,0.99336,0.906,0.5032,0.22496,0.84236,0.0047035,0.0047035,0.0047035
109,40188.2,0.55967,0.2799,0.86085,0.97892,0.97728,0.99336,0.90623,0.5024,0.22476,0.84223,0.004654,0.004654,0.004654
110,41452.7,0.55912,0.2799,0.85954,0.97881,0.97738,0.99336,0.90647,0.50167,0.22458,0.84197,0.0046045,0.0046045,0.0046045
111,42718.3,0.5578,0.27895,0.8581,0.97884,0.97741,0.99336,0.90671,0.50091,0.22436,0.84156,0.004555,0.004555,0.004555
112,43984,0.55624,0.2782,0.85944,0.97868,0.97758,0.99336,0.90688,0.5002,0.22395,0.84139,0.0045055,0.0045055,0.0045055
113,45248.7,0.55734,0.27832,0.85873,0.9788,0.9777,0.99338,0.9075,0.4995,0.22353,0.8411,0.004456,0.004456,0.004456
114,46515.4,0.5544,0.2772,0.85805,0.97868,0.97791,0.9934,0.90777,0.49883,0.22318,0.84085,0.0044065,0.0044065,0.0044065
115,47782.1,0.55462,0.27735,0.85993,0.97855,0.97811,0.9934,0.90792,0.4982,0.22301,0.84072,0.004357,0.004357,0.004357
116,49048.3,0.55361,0.27674,0.85712,0.97863,0.97811,0.99342,0.90814,0.4974,0.22266,0.84032,0.0043075,0.0043075,0.0043075
